name,size,cost,discount,original_name,original_price
Oval Black Sapphire and  Diamond Quatrefoil Frame Vintage-Style Bridal Set in 10K White Gold, 1/5 CT. T.W., $469.99, 41%, Oval Black Sapphire and 1/5 CT. T.W. Diamond Quatrefoil Frame Vintage-Style Bridal Set in 10K White Gold, $469.99  (41% off)
Lab-Created White Sapphire Frame Cascading Bridal Set in Sterling Silver, 7.0mm, $79.99, 38%, 7.0mm Lab-Created White Sapphire Frame Cascading Bridal Set in Sterling Silver, $79.99  (38% off)
Enchanted Disney Villains Maleficent  Enhanced Black Diamond Ring in Sterling Silver and Black Rhodium, 1/10 CT. T.W., $149.99, 21%, Enchanted Disney Villains Maleficent 1/10 CT. T.W. Enhanced Black Diamond Ring in Sterling Silver and Black Rhodium, $149.99  (21% off)
Enchanted Disney Belle  Diamond Rose Ring in 10K Rose Gold, 1/10 CT. T.W., $519.99, 0, Enchanted Disney Belle 1/10 CT. T.W. Diamond Rose Ring in 10K Rose Gold, Now  $519.99
Diamond Band in 10K White Gold, 1/6 CT. T.W., $319.99, 20%, 1/6 CT. T.W. Diamond Band in 10K White Gold, $319.99  (20% off)
Enchanted Disney Villains Maleficent Black Quartz and  Diamond Ring in Sterling Silver and 10K Rose Gold, 1/6 CT. T.W., $389.99, 22%, Enchanted Disney Villains Maleficent Black Quartz and 1/6 CT. T.W. Diamond Ring in Sterling Silver and 10K Rose Gold, $389.99  (22% off)
Diamond Double Row Band in 10K White Gold, 1/10 CT. T.W., $199.99, 20%, 1/10 CT. T.W. Diamond Double Row Band in 10K White Gold, $199.99  (20% off)
Enchanted Disney Villains Maleficent  Enhanced Black Diamond Ring in Sterling Silver with Black Rhodium, 1/5 CT. T.W., $179.99, 0, Enchanted Disney Villains Maleficent 1/5 CT. T.W. Enhanced Black Diamond Ring in Sterling Silver with Black Rhodium, Now  $179.99
Princess-Cut Lab-Created White Sapphire Fashion Ring Set in Sterling Silver, 6.0mm, $149.99, 25%, 6.0mm Princess-Cut Lab-Created White Sapphire Fashion Ring Set in Sterling Silver, $149.99  (25% off)
Diamond Band in 14K White Gold, 1/4 CT. T.W., $499.99, 21%, 1/4 CT. T.W. Diamond Band in 14K White Gold, $499.99  (21% off)
Diamond Band in 10K White Gold, 1/5 CT. T.W., $599.99, 21%, 1/5 CT. T.W. Diamond Band in 10K White Gold, $599.99  (21% off)
