name,size,cost,discount,original_name,original_price
Vera Wang Love Collection Oval Blue Sapphire and  Diamond Alternating Band in 14K White Gold, 3/8 CT. T.W., $1799.99, 0, Vera Wang Love Collection Oval Blue Sapphire and 3/8 CT. T.W. Diamond Alternating Band in 14K White Gold, $1799.99
Diamond Contour Wedding Band in 14K White Gold, 1/8 CT. T.W., $499.99, 21%, 1/8 CT. T.W. Diamond Contour Wedding Band in 14K White Gold, $499.99  (21% off)
Diamond Bezel-Set Band in 10K White Gold, 1/4 CT. T.W., $499.99, 21%, 1/4 CT. T.W. Diamond Bezel-Set Band in 10K White Gold, $499.99  (21% off)
Diamond Braid Band in 10K White Gold, 1/8 CT. T.W., $349.99, 20%, 1/8 CT. T.W. Diamond Braid Band in 10K White Gold, $349.99  (20% off)
Diamond Twist Contour Wedding Band in 14K Gold, 1/4 CT. T.W., $599.99, 21%, 1/4 CT. T.W. Diamond Twist Contour Wedding Band in 14K Gold, $599.99  (21% off)
Certified Marquise Diamond Five Stone Anniversary Band in 14K White Gold (I/SI2), 1/2 CT. T.W., $1299.99, 20%, 1/2 CT. T.W. Certified Marquise Diamond Five Stone Anniversary Band in 14K White Gold (I/SI2), $1299.99  (20% off)
Diamond Teardrop Vintage-Style Stackable Band in 10K White Gold, 1/8 CT. T.W., $349.99, 20%, 1/8 CT. T.W. Diamond Teardrop Vintage-Style Stackable Band in 10K White Gold, $349.99  (20% off)
Cushion-Cut Lab-Created Opal and White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Lab-Created Opal and White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
Diamond Contour Vintage-Style Anniversary Band in 10K White Gold, 1/6 CT. T.W., $399.99, 20%, 1/6 CT. T.W. Diamond Contour Vintage-Style Anniversary Band in 10K White Gold, $399.99  (20% off)
Diamond Five Stone Contour Anniversary Band in 10K White Gold, 1/5 CT. T.W., $499.99, 21%, 1/5 CT. T.W. Diamond Five Stone Contour Anniversary Band in 10K White Gold, $499.99  (21% off)
Diamond Double Chevron Anniversary Band in 14K White Gold, 1 CT. T.W., $1999.99, 20%, 1 CT. T.W. Diamond Double Chevron Anniversary Band in 14K White Gold, $1999.99  (20% off)
Diamond Crossover Contour Band in 14K White Gold, 3/8 CT. T.W., $1069.99, 20%, 3/8 CT. T.W. Diamond Crossover Contour Band in 14K White Gold, $1069.99  (20% off)
Baguette and Round Diamond Chevron Anniversary Band in 14K White Gold, 1/6 CT. T.W., $499.99, 21%, 1/6 CT. T.W. Baguette and Round Diamond Chevron Anniversary Band in 14K White Gold, $499.99  (21% off)
Diamond Twist Contour Band in 14K White Gold, 1/2 CT. T.W., $999.99, 21%, 1/2 CT. T.W. Diamond Twist Contour Band in 14K White Gold, $999.99  (21% off)
Vera Wang Love Collection  Diamond and Blue Sapphire Solitaire Enhancer in 14K White Gold, 1/3 CT. T.W., $1999.99, 0, Vera Wang Love Collection 1/3 CT. T.W. Diamond and Blue Sapphire Solitaire Enhancer in 14K White Gold, $1999.99
Enchanted Disney Princess  Diamond Band in 14K White Gold, 1/5 CT. T.W., $799.99, 0, Enchanted Disney Princess 1/5 CT. T.W. Diamond Band in 14K White Gold, $799.99
Vera Wang Love Collection  Certified Emerald-Cut Diamond Band in 14K White Gold (I/SI2), 3/4 CT. T.W., $2499.99, 0, Vera Wang Love Collection 3/4 CT. T.W. Certified Emerald-Cut Diamond Band in 14K White Gold (I/SI2), $2499.99
Vera Wang Love Collection  Diamond Braided Band in 14K White Gold, 1/4 CT. T.W., $1199.99, 0, Vera Wang Love Collection 1/4 CT. T.W. Diamond Braided Band in 14K White Gold, $1199.99
Vera Wang Love Collection  Diamond Contour Wedding Band in 14K White Gold, 1/6 CT. T.W., $839.00, 0, Vera Wang Love Collection 1/6 CT. T.W. Diamond Contour Wedding Band in 14K White Gold, $839.00
Vera Wang Love Collection  Certified Diamond Multi-Row Band in 14K White Gold (I/SI2), 3 CT. T.W., $6999.99, 0, Vera Wang Love Collection 3 CT. T.W. Certified Diamond Multi-Row Band in 14K White Gold (I/SI2), $6999.99
Vera Wang Love Collection 1- Certified Pear-Shaped Diamond Band in 14K White Gold (I/SI2), 1/2 CT. T.W., $5499.99, 0, Vera Wang Love Collection 1-1/2 CT. T.W. Certified Pear-Shaped Diamond Band in 14K White Gold (I/SI2), $5499.99
Vera Wang Love Collection  Diamond Two Row Band in 14K White Gold, 3/8 CT. T.W., $1299.99, 0, Vera Wang Love Collection 3/8 CT. T.W. Diamond Two Row Band in 14K White Gold, $1299.99
Vera Wang Love Collection  Certified Diamond and Blue Sapphire Band in 14K White Gold (I/SI2), 3 CT. T.W., $7999.99, 0, Vera Wang Love Collection 3 CT. T.W. Certified Diamond and Blue Sapphire Band in 14K White Gold (I/SI2), $7999.99
Enchanted Disney Belle 1/3 CT. Diamond Twist Anniversary Band in 14K Two-Tone Gold, Na, $1299.99, 0, Enchanted Disney Belle 1/3 CT. Diamond Twist Anniversary Band in 14K Two-Tone Gold, $1299.99
Enchanted Disney Ultimate Princess Celebration  Tanzanite and  Diamond Art Deco Band in 14K White Gold, 3.0mm, $1799.99, 0, Enchanted Disney Ultimate Princess Celebration 3.0mm Tanzanite and 1/3 CT. T.W. Diamond Art Deco Band in 14K White Gold, $1799.99
Vera Wang Love Collection 2- Certified Diamond Three Row Band in 14K White Gold (I/SI2), 7/8 CT. T.W., $6999.99, 0, Vera Wang Love Collection 2-7/8 CT. T.W. Certified Diamond Three Row Band in 14K White Gold (I/SI2), $6999.99
Vera Wang Love Collection  Diamond Contour Wedding Band in 14K White Gold, 1/5 CT. T.W., $799.99, 0, Vera Wang Love Collection 1/5 CT. T.W. Diamond Contour Wedding Band in 14K White Gold, $799.99
Journey Diamond Multi-Row Bypass Ring in 10K White Gold, 1/2 CT. T.W., $949.99, 21%, 1/2 CT. T.W. Journey Diamond Multi-Row Bypass Ring in 10K White Gold, $949.99  (21% off)
Enchanted Disney Villains Cruella De Vil  Black Enhanced and White Diamond Split Band in 14K White Gold, 1/2 CT. T.W., $1299.99, 0, Enchanted Disney Villains Cruella De Vil 1/2 CT. T.W. Black Enhanced and White Diamond Split Band in 14K White Gold, $1299.99
Enchanted Disney Villains Cruella De Vil  Black Enhanced and White Diamond Band in 14K White Gold, 5/8 CT. T.W., $2299.99, 0, Enchanted Disney Villains Cruella De Vil 5/8 CT. T.W. Black Enhanced and White Diamond Band in 14K White Gold, $2299.99
Certified Diamond Band in 14K White Gold (I/SI2), 1 CT. T.W., $2499.99, 20%, 1 CT. T.W. Certified Diamond Band in 14K White Gold (I/SI2), $2499.99  (20% off)
Ladies'  Certified Diamond Band in 14K White Gold (I/SI2), 1/4 CT. T.W., $699.99, 20%, Ladies' 1/4 CT. T.W. Certified Diamond Band in 14K White Gold (I/SI2), $699.99  (20% off)
Diamond Vintage-Style Enhancer in 14K Gold, 1/2 CT. T.W., $1599.99, 20%, 1/2 CT. T.W. Diamond Vintage-Style Enhancer in 14K Gold, $1599.99  (20% off)
Certified Diamond Band in 18K White Gold (I/VS2), 1/2 CT. T.W., $1499.99, 20%, 1/2 CT. T.W. Certified Diamond Band in 18K White Gold (I/VS2), $1499.99  (20% off)
Certified Diamond Five Row Band in 14K White Gold (I/SI2), 1 CT. T.W., $2199.99, 20%, 1 CT. T.W. Certified Diamond Five Row Band in 14K White Gold (I/SI2), $2199.99  (20% off)
1- Certified Diamond Nine Stone Band in 14K White Gold (I/SI2), 1/2 CT. T.W., $3999.99, 20%, 1-1/2 CT. T.W. Certified Diamond Nine Stone Band in 14K White Gold (I/SI2), $3999.99  (20% off)
Colorless Diamond Band in 18K White Gold, 1/3 CT. T.W., $999.99, 21%, 1/3 CT. T.W. Colorless Diamond Band in 18K White Gold, $999.99  (21% off)
Enchanted Disney Villains Jafar Oval Onyx and  Diamond Snake Ring in Sterling Silver with Black Rhodium, 1/15 CT. T.W., $219.99, 0, Enchanted Disney Villains Jafar Oval Onyx and 1/15 CT. T.W. Diamond Snake Ring in Sterling Silver with Black Rhodium, Now  $219.99
Diamond Scallop Solitaire Enhancer in 14K Two-Tone Gold, 1/2 CT. T.W., $1599.99, 20%, 1/2 CT. T.W. Diamond Scallop Solitaire Enhancer in 14K Two-Tone Gold, $1599.99  (20% off)
Round and Baguette Diamond Wrap Solitaire Enhancer in 14K White Gold, 1 CT. T.W., $2399.99, 20%, 1 CT. T.W. Round and Baguette Diamond Wrap Solitaire Enhancer in 14K White Gold, $2399.99  (20% off)
Diamond Contour Solitaire Enhancer in 14K White Gold, 1 CT. T.W., $2399.99, 20%, 1 CT. T.W. Diamond Contour Solitaire Enhancer in 14K White Gold, $2399.99  (20% off)
1- Diamond Solitaire Enhancer in 14K White Gold, 1/2 CT. T.W., $3299.99, 20%, 1-1/2 CT. T.W. Diamond Solitaire Enhancer in 14K White Gold, $3299.99  (20% off)
Diamond Sunburst Solitaire Enhancer in 14K White Gold, 3/8 CT. T.W., $1299.99, 20%, 3/8 CT. T.W. Diamond Sunburst Solitaire Enhancer in 14K White Gold, $1299.99  (20% off)
Diamond Chevron Solitaire Enhancer in 14K White Gold, 1 CT. T.W., $2399.99, 20%, 1 CT. T.W. Diamond Chevron Solitaire Enhancer in 14K White Gold, $2399.99  (20% off)
Diamond Solitaire Enhancer in 14K Gold, 1/4 CT. T.W., $999.99, 20%, 1/4 CT. T.W. Diamond Solitaire Enhancer in 14K Gold, $999.99  (20% off)
Enchanted Disney Villains Ursula Oval Amethyst and  Enhanced Black Diamond Ring in Sterling Silver, 1/4 CT. T.W., $589.99, 21%, Enchanted Disney Villains Ursula Oval Amethyst and 1/4 CT. T.W. Enhanced Black Diamond Ring in Sterling Silver, $589.99  (21% off)
I Promise To™  Diamond Tilted Heart with Infinity Ring in Sterling Silver, 1/4 CT. T.W., $309.99, 22%, I Promise To™ 1/4 CT. T.W. Diamond Tilted Heart with Infinity Ring in Sterling Silver, $309.99  (22% off)
Cushion-Cut Lab-Created Blue and White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Lab-Created Blue and White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
I Promise To™  Diamond Sideways Layered Infinity Ring in Sterling Silver, 1/5 CT. T.W., $269.99, 20%, I Promise To™ 1/5 CT. T.W. Diamond Sideways Layered Infinity Ring in Sterling Silver, $269.99  (20% off)
Enchanted Disney Villains Maleficent Pink Topaz and  Enhanced Black Diamond Thorn Ring in 10K Rose Gold, 1/10 CT. T.W., $449.99, 0, Enchanted Disney Villains Maleficent Pink Topaz and 1/10 CT. T.W. Enhanced Black Diamond Thorn Ring in 10K Rose Gold, Now  $449.99
Enchanted Disney Rapunzel Rose de France Amethyst and  Diamond Ring in Sterling Silver and 10K Rose Gold, 1/6 CT. T.W., $499.99, 21%, Enchanted Disney Rapunzel Rose de France Amethyst and 1/6 CT. T.W. Diamond Ring in Sterling Silver and 10K Rose Gold, $499.99  (21% off)
Enchanted Disney Cinderella Octagonal London Blue Topaz and  Diamond Ring in Sterling Silver, 1/6 CT. T.W., $389.99, 22%, Enchanted Disney Cinderella Octagonal London Blue Topaz and 1/6 CT. T.W. Diamond Ring in Sterling Silver, $389.99  (22% off)
Enchanted Disney Elsa Swiss Blue Topaz and  Diamond Ring in Sterling Silver and 10K Rose Gold, 1/6 CT. T.W., $389.99, 22%, Enchanted Disney Elsa Swiss Blue Topaz and 1/6 CT. T.W. Diamond Ring in Sterling Silver and 10K Rose Gold, $389.99  (22% off)
Marquise Lab-Created Opal and White Sapphire Starburst Frame Ring in Sterling Silver, Na, $99.99, 22%, Marquise Lab-Created Opal and White Sapphire Starburst Frame Ring in Sterling Silver, $99.99  (22% off)
Lab-Created Pink Opal Pink Tourmaline and Lab-Created White Sapphire Ring in Sterling Silver with 14K Rose Gold Plate, Na, $229.99, 23%, Lab-Created Pink Opal Pink Tourmaline and Lab-Created White Sapphire Ring in Sterling Silver with 14K Rose Gold Plate, $229.99  (23% off)
Oval Lab-Created Opal Blue and White Sapphire Open Frame Twist Shank Ring in Sterling Silver, Na, $99.99, 22%, Oval Lab-Created Opal Blue and White Sapphire Open Frame Twist Shank Ring in Sterling Silver, $99.99  (22% off)
Baroque Cultured Freshwater Pearl and Lab-Created White Sapphire Vine Ring in Sterling Silver, 8.0mm, $69.99, 29%, 8.0mm Baroque Cultured Freshwater Pearl and Lab-Created White Sapphire Vine Ring in Sterling Silver, $69.99  (29% off)
Cushion-Cut and Round Lab-Created White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut and Round Lab-Created White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
Cushion-Cut Garnet and  Lab-Created White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Garnet and 4.0mm Lab-Created White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
Marilyn Monroe™ Collection Emerald-Cut London Blue Topaz and  Diamond Ring in Sterling Silver, 1/3 CT. T.W., $749.00, 0, Marilyn Monroe™ Collection Emerald-Cut London Blue Topaz and 1/3 CT. T.W. Diamond Ring in Sterling Silver, $749.00
Cushion-Cut Swiss Blue Topaz and  Lab-Created White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Swiss Blue Topaz and 4.0mm Lab-Created White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
Cushion-Cut Lab-Created Blue Spinel and White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Lab-Created Blue Spinel and White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
Opal Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, 7.0mm, $229.99, 23%, 7.0mm Opal Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, $229.99  (23% off)
Oval Garnet and  Diamond Frame Twist Shank Ring in 10K Gold, 1/15 CT. T.W., $309.99, 22%, Oval Garnet and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K Gold, $309.99  (22% off)
Swiss Blue Topaz Bead Shank Ring in 10K Gold, 5.0mm, $149.99, 25%, 5.0mm Swiss Blue Topaz Bead Shank Ring in 10K Gold, $149.99  (25% off)
Swiss Blue Topaz Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, 7.0mm, $229.99, 23%, 7.0mm Swiss Blue Topaz Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, $229.99  (23% off)
Amethyst Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, 7.0mm, $229.99, 23%, 7.0mm Amethyst Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, $229.99  (23% off)
White Topaz Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, 7.0mm, $229.99, 23%, 7.0mm White Topaz Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, $229.99  (23% off)
Emerald Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, 7.0mm, $309.99, 22%, 7.0mm Emerald Solitaire Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, $309.99  (22% off)
7.0- Button Cultured Freshwater Pearl Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, 7.5mm, $229.99, 23%, 7.0-7.5mm Button Cultured Freshwater Pearl Rope-Textured Frame and Shank Ring in Sterling Silver and 10K Gold, $229.99  (23% off)
Enchanted Disney Villains Maleficent Onyx and  Enhanced Black Diamond Ring in Black Rhodium Sterling Silver, 1/2 CT. T.W., $499.99, 21%, Enchanted Disney Villains Maleficent Onyx and 1/2 CT. T.W. Enhanced Black Diamond Ring in Black Rhodium Sterling Silver, $499.99  (21% off)
Enchanted Disney Aladdin Pear-Shaped Swiss Blue Topaz and  Diamond Arabesque Frame Ring in 10K Gold, 1/10 CT. T.W., $589.99, 0, Enchanted Disney Aladdin Pear-Shaped Swiss Blue Topaz and 1/10 CT. T.W. Diamond Arabesque Frame Ring in 10K Gold, Now  $589.99
Enchanted Disney Villains Evil Queen Oval Garnet and  Diamond Ring in Two-Tone Sterling Silver and 10K Gold, 1/4 CT. T.W., $389.99, 0, Enchanted Disney Villains Evil Queen Oval Garnet and 1/4 CT. T.W. Diamond Ring in Two-Tone Sterling Silver and 10K Gold, Now  $389.99
Lab-Created White Sapphire Ring in Sterling Silver, 8.0mm, $99.99, 22%, 8.0mm Lab-Created White Sapphire Ring in Sterling Silver, $99.99  (22% off)
Cushion-Cut Lab-Created White Sapphire Frame Ring in Sterling Silver with 14K Rose Gold Plate - Size 7, 6.0mm, $99.99, 22%, 6.0mm Cushion-Cut Lab-Created White Sapphire Frame Ring in Sterling Silver with 14K Rose Gold Plate - Size 7, $99.99  (22% off)
Lab-Created White Sapphire Stackable Band Set in Sterling Silver with 18K Yellow and Rose GP and Black Rhodium - Size 7, Na, $109.99, 26%, Lab-Created White Sapphire Stackable Band Set in Sterling Silver with 18K Yellow and Rose GP and Black Rhodium - Size 7, $109.99  (26% off)
Cushion-Cut Lab-Created Emerald and White Sapphire Frame Braided Shank Ring in Sterling Silver, Na, $139.99, 22%, Cushion-Cut Lab-Created Emerald and White Sapphire Frame Braided Shank Ring in Sterling Silver, $139.99  (22% off)
Enchanted Disney Ultimate Princess Celebration Multi-Gemstone and  Diamond Tiara Ring in Sterling Silver, 1/8 CT. T.W., $349.99, 20%, Enchanted Disney Ultimate Princess Celebration Multi-Gemstone and 1/8 CT. T.W. Diamond Tiara Ring in Sterling Silver, $349.99  (20% off)
Enchanted Disney Aurora Morganite and  Diamond Ring in Sterling Silver and 10K Rose Gold, 1/5 CT. T.W., $699.99, 20%, Enchanted Disney Aurora Morganite and 1/5 CT. T.W. Diamond Ring in Sterling Silver and 10K Rose Gold, $699.99  (20% off)
Emerald Petite Stackable Band in 10K Gold, Na, $309.99, 22%, Emerald Petite Stackable Band in 10K Gold, $309.99  (22% off)
Enchanted Disney Mulan Live Action Rhodolite and  Diamond Ring in Sterling Silver and 10K Rose Gold, 1/6 CT. T.W., $389.99, 22%, Enchanted Disney Mulan Live Action Rhodolite and 1/6 CT. T.W. Diamond Ring in Sterling Silver and 10K Rose Gold, $389.99  (22% off)
Emerald-Cut Emerald and White Sapphire Ring in 10K White Gold, Na, $489.99, 21%, Emerald-Cut Emerald and White Sapphire Ring in 10K White Gold, $489.99  (21% off)
Oval Emerald and  Diamond Vintage-Style Ring in 10K Gold, 1/20 CT. T.W., $579.99, 20%, Oval Emerald and 1/20 CT. T.W. Diamond Vintage-Style Ring in 10K Gold, $579.99  (20% off)
Emerald Bead Shank Ring in 10K Gold - Size 7, 5.0mm, $149.99, 25%, 5.0mm Emerald Bead Shank Ring in 10K Gold - Size 7, $149.99  (25% off)
Emerald and Diamond Accent Flower Cluster Ring in 10K Gold, Na, $309.99, 22%, Emerald and Diamond Accent Flower Cluster Ring in 10K Gold, $309.99  (22% off)
Enchanted Disney Ultimate Princess Celebration Tanzanite and  Diamond Ring in Sterling Silver, 1/5 CT. T.W., $589.99, 21%, Enchanted Disney Ultimate Princess Celebration Tanzanite and 1/5 CT. T.W. Diamond Ring in Sterling Silver, $589.99  (21% off)
Opal and  Diamond Crescent Moon and Star Ring in 10K Gold, 5.0mm, $309.99, 22%, 5.0mm Opal and 1/20 CT. T.W. Diamond Crescent Moon and Star Ring in 10K Gold, $309.99  (22% off)
5.0- Cultured Freshwater Pearl and White Topaz Bypass Ring in Sterling Silver with 14K Gold Plate - Size 7, 6.5mm, $109.99, 26%, 5.0-6.5mm Cultured Freshwater Pearl and White Topaz Bypass Ring in Sterling Silver with 14K Gold Plate - Size 7, $109.99  (26% off)
3.0- Cultured Freshwater Pearl Graduated Linear Multi-Row Split Shank Ring in 10K Gold, 5.0mm, $469.99, 22%, 3.0-5.0mm Cultured Freshwater Pearl Graduated Linear Multi-Row Split Shank Ring in 10K Gold, $469.99  (22% off)
5.5- Cultured Freshwater Pearl and  Diamond Ornate Frame Side Accent Vintage-Style Ring in 10K Gold, 6.0mm, $469.99, 22%, 5.5-6.0mm Cultured Freshwater Pearl and 1/20 CT. T.W. Diamond Ornate Frame Side Accent Vintage-Style Ring in 10K Gold, $469.99  (22% off)
Opal Bead Shank Ring in 10K Gold, 5.0mm, $149.99, 25%, 5.0mm Opal Bead Shank Ring in 10K Gold, $149.99  (25% off)
Oval Lab-Created Blue Opal and White Sapphire Three Stone Bypass Ring in Sterling Silver, Na, $99.99, 22%, Oval Lab-Created Blue Opal and White Sapphire Three Stone Bypass Ring in Sterling Silver, $99.99  (22% off)
Elongated Cushion-Cut Opal and  Diamond Frame Ring in 10K Gold, 1/8 CT. T.W., $469.99, 22%, Elongated Cushion-Cut Opal and 1/8 CT. T.W. Diamond Frame Ring in 10K Gold, $469.99  (22% off)
Pear-Shaped Opal and  Diamond Double Row Wrap Ring in 10K Gold, 1/10 CT. T.W., $629.99, 21%, Pear-Shaped Opal and 1/10 CT. T.W. Diamond Double Row Wrap Ring in 10K Gold, $629.99  (21% off)
Pear-Shaped Opal and  Diamond Vintage-Style Ring in 10K Gold, 1/8 CT. T.W., $619.99, 20%, Pear-Shaped Opal and 1/8 CT. T.W. Diamond Vintage-Style Ring in 10K Gold, $619.99  (20% off)
Emerald-Cut Amethyst Solitaire Ring in Sterling Silver with 18K Gold Plate, Na, $149.99, 25%, Emerald-Cut Amethyst Solitaire Ring in Sterling Silver with 18K Gold Plate, $149.99  (25% off)
Ruby Petite Stackable Band in 10K Gold, Na, $309.99, 22%, Ruby Petite Stackable Band in 10K Gold, $309.99  (22% off)
Baguette Ruby and  Diamond Border Triple Row Band in 10K Gold, 1/4 CT. T.W., $1109.99, 21%, Baguette Ruby and 1/4 CT. T.W. Diamond Border Triple Row Band in 10K Gold, $1109.99  (21% off)
Emerald and  Diamond Open Petal Frame Scallop Shank Flower Ring in 10K Gold, 3.0mm, $429.99, 22%, 3.0mm Emerald and 1/10 CT. T.W. Diamond Open Petal Frame Scallop Shank Flower Ring in 10K Gold, $429.99  (22% off)
Emerald Cluster Heart Ring in 10K Gold, Na, $309.99, 22%, Emerald Cluster Heart Ring in 10K Gold, $309.99  (22% off)
Cushion-Cut Lab-Created Ruby and White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Lab-Created Ruby and White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
Button Cultured Freshwater Pearl and  Lab-Created White Sapphire Three Stone Ring in Sterling Silver, 4.0mm, $79.99, 20%, Button Cultured Freshwater Pearl and 4.0mm Lab-Created White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
Cushion-Cut Citrine and  Lab-Created White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Citrine and 4.0mm Lab-Created White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
Cushion-Cut Peridot and  Lab-Created White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Peridot and 4.0mm Lab-Created White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
4.5- Cultured Freshwater Pearl and Lab-Created White Sapphire Cluster Open Shank Ring in 10K White Gold, 8.5mm, $549.99, 21%, 4.5-8.5mm Cultured Freshwater Pearl and Lab-Created White Sapphire Cluster Open Shank Ring in 10K White Gold, $549.99  (21% off)
Cushion-Cut Green Quartz Doublet and  Lab-Created White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Green Quartz Doublet and 4.0mm Lab-Created White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
Cushion-Cut Amethyst and  Lab-Created White Sapphire Three Stone Ring in Sterling Silver, 8.0mm, $79.99, 20%, 8.0mm Cushion-Cut Amethyst and 4.0mm Lab-Created White Sapphire Three Stone Ring in Sterling Silver, $79.99  (20% off)
9.0- Button Cultured Freshwater Pearl and White Topaz Interlocking Double Loop ring in Sterling Silver, 10.0mm, $99.99, 22%, 9.0-10.0mm Button Cultured Freshwater Pearl and White Topaz Interlocking Double Loop ring in Sterling Silver, $99.99  (22% off)
Cultured Freshwater Pearl Bead Shank Ring in 10K Gold, 5.0mm, $199.00, 0, 5.0mm Cultured Freshwater Pearl Bead Shank Ring in 10K Gold, $199.00
Aquamarine Bead Shank Ring in 10K Gold, 5.0mm, $149.99, 25%, 5.0mm Aquamarine Bead Shank Ring in 10K Gold, $149.99  (25% off)
Oval Opal and  Diamond Frame Twist Shank Ring in 10K Gold, 1/15 CT. T.W., $309.99, 22%, Oval Opal and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K Gold, $309.99  (22% off)
Oval Blue Sapphire and  Diamond Frame Twist Shank Ring in 10K White Gold, 1/15 CT. T.W., $419.99, 21%, Oval Blue Sapphire and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K White Gold, $419.99  (21% off)
Oval Aquamarine and  Diamond Frame Twist Shank Ring in 10K White Gold, 1/15 CT. T.W., $309.99, 22%, Oval Aquamarine and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K White Gold, $309.99  (22% off)
Cultured Freshwater Pearl and  Diamond Frame Twist Shank Ring in 10K Gold, 6.0mm, $309.99, 22%, 6.0mm Cultured Freshwater Pearl and 1/10 CT. T.W. Diamond Frame Twist Shank Ring in 10K Gold, $309.99  (22% off)
Oval Emerald and  Diamond Frame Twist Shank Ring in 10K Gold, 1/15 CT. T.W., $419.99, 21%, Oval Emerald and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K Gold, $419.99  (21% off)
Oval Opal and  Diamond Bypass Swirl Frame Triple Row Split Shank Ring in 10K Rose Gold, 1/6 CT. T.W., $1029.99, 21%, Oval Opal and 1/6 CT. T.W. Diamond Bypass Swirl Frame Triple Row Split Shank Ring in 10K Rose Gold, $1029.99  (21% off)
Opal Solitaire Heart Frame Ring in 10K Gold, 5.0mm, $309.99, 22%, 5.0mm Opal Solitaire Heart Frame Ring in 10K Gold, $309.99  (22% off)
Oval Ruby and  Diamond Frame Twist Shank Ring in 10K Gold, 1/15 CT. T.W., $419.99, 21%, Oval Ruby and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K Gold, $419.99  (21% off)
Oval Peridot and  Diamond Frame Twist Shank Ring in 10K Gold, 1/15 CT. T.W., $309.99, 22%, Oval Peridot and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K Gold, $309.99  (22% off)
Oval Citrine and  Diamond Frame Twist Shank Ring in 10K Gold, 1/15 CT. T.W., $309.99, 22%, Oval Citrine and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K Gold, $309.99  (22% off)
Oval Swiss Blue Topaz and  Diamond Frame Twist Shank Ring in 10K Gold, 1/15 CT. T.W., $309.99, 22%, Oval Swiss Blue Topaz and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K Gold, $309.99  (22% off)
Oval Amethyst and  Diamond Frame Twist Shank Ring in 10K Gold, 1/15 CT. T.W., $309.99, 22%, Oval Amethyst and 1/15 CT. T.W. Diamond Frame Twist Shank Ring in 10K Gold, $309.99  (22% off)
Emerald-Cut White Topaz Solitaire Ring in Sterling Silver with 18K Gold Plate, Na, $149.99, 25%, Emerald-Cut White Topaz Solitaire Ring in Sterling Silver with 18K Gold Plate, $149.99  (25% off)
